hydrophone 0,hydrophone 1,hydrophone 2,hydrophone 3
0.041503906,0.048828125,0.002441406,-0.009765625
0.046386719,0.046386719,0.002441406,-0.007324219
0.043945312,0.046386719,0.002441406,-0.007324219
0.048828125,0.051269531,0.004882812,-0.009765625
0.043945312,0.046386719,0.000000000,-0.007324219
0.043945312,0.046386719,0.000000000,-0.014648438
0.041503906,0.046386719,0.002441406,-0.009765625
0.043945312,0.048828125,0.000000000,-0.007324219
0.043945312,0.048828125,0.002441406,-0.009765625
0.043945312,0.046386719,0.000000000,-0.009765625
0.043945312,0.048828125,0.004882812,-0.009765625
0.041503906,0.051269531,0.002441406,-0.009765625
0.041503906,0.048828125,0.002441406,-0.009765625
0.041503906,0.046386719,0.002441406,-0.007324219
0.043945312,0.046386719,0.002441406,-0.009765625
