duty cycle,x_mag_raw,y_mag_raw,z_mag_raw
0.41,-0.004692000000000002,0.0,0.0005520000000000039
0.415,-0.004968,-0.0002760000000000002,0.0004600000000000021
0.42,-0.004968,-0.0002760000000000002,0.0004600000000000021
0.425,-0.004968,-0.0002760000000000002,0.0004600000000000021
0.43,-0.005060000000000002,-0.00036800000000000027,0.0008280000000000023
0.435,-0.005060000000000002,-0.00036800000000000027,0.0008280000000000023
0.44,-0.0047840000000000035,-9.200000000000007e-05,9.20000000000018e-05
0.445,-0.005520000000000004,-0.0004599999999999986,9.20000000000018e-05
0.45,-0.005428000000000002,-0.00018400000000000014,0.0002760000000000054
0.455,-0.0057960000000000025,-0.00036800000000000027,0.0004600000000000021
0.46,-0.0057960000000000025,-0.00036800000000000027,0.0004600000000000021
