x_mag,y_mag,z_mag,force (kg)
-0.0013905848167539234,-0.0003834916129031793,-0.000954508263473007,0.19
-0.0013905848167539234,-0.0003834916129031793,-0.000954508263473007,0.195
-0.0013905848167539234,0.003937540645161341,-0.0001524004790418726,0.2
-0.0016535795811518303,0.002182121290322629,-0.0016563525748502436,0.205
-0.0016535795811518303,0.002182121290322629,-0.0016563525748502436,0.21
-0.0016535795811518303,0.002182121290322629,-0.0016563525748502436,0.215
-0.0013905848167539234,-0.0010586529032257583,-0.0002526639520957566,0.22
-0.0016535795811518303,0.0031273470967742405,-0.0013555621556885708,0.225
-0.0013248361256544463,-0.0009236206451612439,4.812646706591622e-05,0.23
-0.0013248361256544463,-0.0009236206451612439,4.812646706591622e-05,0.235
-0.0013248361256544463,-0.0009236206451612439,4.812646706591622e-05,0.24
-0.0014563335078534023,0.002992314838709733,-0.0001524004790418726,0.245
-0.0015878308900523514,0.004072572903225852,-0.0015560891017963596,0.25
-0.0015878308900523514,0.004072572903225852,-0.0015560891017963596,0.255
-0.0015878308900523514,0.002182121290322629,0.00014838994011980716,0.26
-0.0017193282722513074,0.0032623793548387583,-0.0011550352095807959,0.265
-0.0013248361256544463,-0.0011936851612902796,-0.0001524004790418726,0.27
-0.0013248361256544463,-0.0011936851612902796,-0.0001524004790418726,0.275
-0.0016535795811518303,0.003532443870967787,-0.000854244790419123,0.28
-0.001522082198952876,0.0015069600000000537,-0.0015560891017963596,0.285
-0.001522082198952876,-0.0002484593548386718,0.0007499707784431597,0.29
-0.001522082198952876,-0.0002484593548386718,0.0007499707784431597,0.295
-0.0016535795811518303,0.0033974116129032762,-0.0007539813173652182,0.3
-0.0016535795811518303,0.0033974116129032762,-0.0007539813173652182,0.305
-0.001522082198952876,0.0028572825806452117,-0.0004531908982035454,0.31
-0.001522082198952876,0.0028572825806452117,-0.0004531908982035454,0.315
-0.0015878308900523514,0.0027222503225806938,-0.0013555621556885708,0.32
-0.0013905848167539234,-0.00011342709677415047,0.0008502342514970576,0.325
-0.0016535795811518303,0.003937540645161341,-0.000854244790419123,0.33
-0.0016535795811518303,0.003937540645161341,-0.000854244790419123,0.335
-0.0016535795811518303,0.003937540645161341,-0.000854244790419123,0.34
-0.0013248361256544463,-0.0005185238709676937,-0.0003529274251496614,0.345
-0.001522082198952876,0.003667476129032305,-0.000954508263473007,0.35
-0.001522082198952876,0.003667476129032305,-0.000954508263473007,0.355
-0.0015878308900523514,0.002992314838709733,-5.2137005987981655e-05,0.36
-0.001522082198952876,0.0015069600000000537,-0.0011550352095807959,0.365
-0.001522082198952876,0.0015069600000000537,-0.0011550352095807959,0.37
-0.0013905848167539234,0.0015069600000000537,-0.0003529274251496614,0.375
-0.0013905848167539234,0.0015069600000000537,-0.0003529274251496614,0.38
-0.0013905848167539234,0.0015069600000000537,-0.0003529274251496614,0.385
-0.0015878308900523514,0.002452185806451665,-0.0011550352095807959,0.39
-0.0013905848167539234,0.0004267019354839141,0.0004491803592814869,0.395
-0.0013905848167539234,0.0004267019354839141,0.0004491803592814869,0.4
-0.0014563335078534023,0.0027222503225806938,-0.0017566160479041484,0.405
-0.0014563335078534023,0.0027222503225806938,-0.0017566160479041484,0.41
-0.0013248361256544463,0.001236895483871018,-5.2137005987981655e-05,0.415
-0.0013248361256544463,0.001236895483871018,-5.2137005987981655e-05,0.42
-0.001522082198952876,0.0027222503225806938,-0.0012552986826346799,0.425
-0.001522082198952876,0.0027222503225806938,-0.0012552986826346799,0.43
-0.001522082198952876,0.0027222503225806938,-0.0012552986826346799,0.435
-0.001522082198952876,0.0027222503225806938,-0.0012552986826346799,0.44
-0.0013905848167539234,0.002452185806451665,-0.0006537178443113342,0.445
-0.0015878308900523514,0.003532443870967787,-0.0003529274251496614,0.45
-0.0014563335078534023,-0.0011936851612902796,4.812646706591622e-05,0.455
-0.0014563335078534023,-0.0011936851612902796,4.812646706591622e-05,0.46
-0.0015878308900523514,0.0033974116129032762,-0.001054771736526898,0.465
-0.0013248361256544463,0.0004267019354839141,-5.2137005987981655e-05,0.47
-0.0013248361256544463,0.0004267019354839141,-5.2137005987981655e-05,0.475
-0.0013248361256544463,0.0004267019354839141,-5.2137005987981655e-05,0.48
-0.0013905848167539234,0.002317153548387147,4.812646706591622e-05,0.485
-0.0014563335078534023,-0.0003834916129031793,-0.0006537178443113342,0.49
-0.0014563335078534023,0.003802508387096823,-0.000854244790419123,0.495
-0.0014563335078534023,0.003802508387096823,-0.000854244790419123,0.5
-0.0014563335078534023,0.003802508387096823,-0.000854244790419123,0.505
-0.0014563335078534023,0.002587218064516176,-0.0018568795209580324,0.51
-0.001522082198952876,0.0032623793548387583,-0.0002526639520957566,0.515
-0.001522082198952876,0.0032623793548387583,-0.0002526639520957566,0.52
-0.0013248361256544463,-0.0007885883870967364,0.0004491803592814869,0.525
-0.001522082198952876,0.0028572825806452117,-0.0013555621556885708,0.53
-0.001522082198952876,0.0028572825806452117,-0.0013555621556885708,0.535
-0.001522082198952876,0.0028572825806452117,-0.0013555621556885708,0.54
-0.0012590874345549709,-0.0002484593548386718,-0.0004531908982035454,0.545
-0.001522082198952876,0.0033974116129032762,-0.0011550352095807959,0.55
-0.0014563335078534023,0.002317153548387147,4.812646706591622e-05,0.555
-0.0014563335078534023,0.002317153548387147,4.812646706591622e-05,0.56
-0.0013248361256544463,-0.000653556129032215,-0.0002526639520957566,0.565
-0.001522082198952876,0.002992314838709733,-0.0017566160479041484,0.57
-0.001522082198952876,0.002992314838709733,-0.0017566160479041484,0.575
-0.001522082198952876,0.002992314838709733,-0.0017566160479041484,0.58
-0.0013905848167539234,2.1605161290370878e-05,0.0004491803592814869,0.585
-0.0014563335078534023,2.1605161290370878e-05,-0.001054771736526898,0.59
