duty cycle,roll_raw,pitch_raw,yaw_raw,roll_corr,pitch_corr,yaw_corr
0.11,-0.00045299530029296875,-0.008424758911132812,0.005719661712646484,0.004585742950439453,-0.005030632019042969,0.008222579956054688
0.115,0.005518674850463867,-0.01226353645324707,0.019016504287719727,-0.0015716552734375,-0.0019423961639404297,-0.003434896469116211
0.12,-0.0072476863861083984,-0.015198230743408203,-0.0007724761962890625,-0.0071964263916015625,-0.006756305694580078,-0.01552581787109375
0.125,-0.005402088165283203,-0.014319896697998047,0.0017638206481933594,-0.004395246505737305,-0.006026744842529297,-0.009803056716918945
0.13,0.003683805465698242,-0.019878387451171875,0.0220487117767334,-0.004560232162475586,-0.005554914474487305,-0.010036468505859375
0.135,0.003683805465698242,-0.019878387451171875,0.0220487117767334,0.012430191040039062,-0.008847951889038086,0.023370742797851562
0.14,-0.004088878631591797,-0.01883721351623535,0.0076122283935546875,-0.005182504653930664,-0.0065495967864990234,-0.011474370956420898
0.145,0.0023293495178222656,-0.022754907608032227,0.0220487117767334,0.006582736968994141,-0.010158300399780273,0.011438608169555664
0.15,0.005056619644165039,-0.015105724334716797,0.020526647567749023,0.006001710891723633,-0.003101348876953125,0.011320829391479492
0.155,0.003683805465698242,-0.019878387451171875,0.0220487117767334,0.0060079097747802734,-0.006372928619384766,0.010849237442016602
0.16,0.006873130798339844,-0.014223575592041016,0.022939205169677734,0.00856161117553711,-0.0016453266143798828,0.01658010482788086
0.165,-0.01038050651550293,-0.028291940689086914,0.003981351852416992,-0.0060787200927734375,-0.005703449249267578,-0.013082027435302734
0.17,-0.01038050651550293,-0.028291940689086914,0.003981351852416992,-0.011748313903808594,-0.01006937026977539,-0.025367259979248047
0.175,0.003683805465698242,-0.023602008819580078,0.025129318237304688,0.005173921585083008,-0.00617527961730957,0.009216785430908203
0.18,0.003683805465698242,-0.023602008819580078,0.025129318237304688,0.005173921585083008,-0.00617527961730957,0.009216785430908203
0.185,0.0009667873382568359,-0.03016376495361328,0.025814294815063477,0.004719257354736328,-0.0047779083251953125,0.008526802062988281
0.19,0.0009667873382568359,-0.03016376495361328,0.025814294815063477,0.0019156932830810547,-0.009177923202514648,0.0022161006927490234
0.195,0.0064105987548828125,-0.024510860443115234,0.030677080154418945,-0.012715578079223633,-0.009465217590332031,-0.027158021926879883
0.2,-0.003566265106201172,-0.03203892707824707,0.01927351951599121,-0.0045664310455322266,-0.008092164993286133,-0.010559558868408203
0.205,0.0018661022186279297,-0.02638411521911621,0.024244070053100586,0.0007717609405517578,-0.003164529800415039,0.0009708404541015625
0.21,0.0018661022186279297,-0.02638411521911621,0.024244070053100586,-0.00212860107421875,-0.006199836730957031,-0.0053288936614990234
0.215,-0.009381771087646484,-0.038603782653808594,0.014189720153808594,-0.010807037353515625,-0.010638236999511719,-0.02361440658569336
0.22,0.0018818378448486328,-0.03672933578491211,0.033049583435058594,0.003220081329345703,-0.008614063262939453,0.004925727844238281
0.225,-0.0017404556274414062,-0.02924060821533203,0.02021646499633789,-0.0029578208923339844,-0.002458333969116211,-0.006262302398681641
