Duty Cycle (%),Roll,Pitch,Yaw
0.05999999999999999,0.0083179771900177,-0.011849865317344666,-0.006585657596588135
0.06199999999999999,-0.0034413039684295654,-0.0022714734077453613,-0.006137192249298096
0.064,-0.003666311502456665,-0.011668149381875992,-0.0065451860427856445
0.066,0.006759360432624817,-0.011432357132434845,-0.010490357875823975
0.068,0.0049430131912231445,-0.006096899509429932,-0.012368321418762207
0.07,-0.003178238868713379,-0.007717639207839966,-0.015167474746704102
0.072,-0.0005201548337936401,-0.010584667325019836,-0.014781296253204346
0.074,-0.008409187197685242,-0.009206511080265045,-0.014855623245239258
0.076,-0.004977002739906311,-0.0014570355415344238,-0.013370513916015625
0.078,0.00083121657371521,-0.004123128950595856,-0.012728393077850342
0.08,-0.0047763437032699585,-0.011521488428115845,-0.014274775981903076
0.082,0.004103809595108032,-0.005841590464115143,-0.0131150484085083
0.084,0.0029605627059936523,-0.012903165072202682,-0.014359652996063232
0.086,-0.0019733160734176636,-0.005524966865777969,-0.01803421974182129
0.088,0.0030472278594970703,-0.006027478724718094,-0.017814040184020996
0.09,0.010264158248901367,-0.008719641715288162,-0.016313672065734863
0.092,-0.006965562701225281,-0.008457489311695099,-0.017108440399169922
0.094,0.002358347177505493,-0.018476031720638275,-0.01744985580444336
0.096,-0.010095164179801941,-0.011533383280038834,-0.021985888481140137
0.098,0.00309598445892334,-0.007124405354261398,-0.020219743251800537
0.1,0.0038277655839920044,-0.006012778729200363,-0.02033054828643799
0.102,0.00911732017993927,-0.00011467188596725464,-0.01795428991317749
0.104,-0.007733404636383057,-0.006171375513076782,-0.01617509126663208
0.106,0.0016804933547973633,-0.00759800523519516,-0.015637636184692383
0.108,0.003007054328918457,-0.0085468590259552,-0.016684293746948242
0.11,-0.004351034760475159,-0.012475434690713882,-0.0186118483543396
0.112,0.004080250859260559,0.0002503134310245514,-0.017591774463653564
0.114,-0.0001809149980545044,-0.0033782124519348145,-0.016989588737487793
0.116,-0.003237977623939514,-0.006102897226810455,-0.016806066036224365
0.11799999999999998,0.01440022885799408,-0.005061924457550049,-0.013367176055908203
0.11999999999999998,-0.0014836043119430542,-0.0036333538591861725,-0.014231085777282715
0.12199999999999998,-0.0036824941635131836,-0.015405438840389252,-0.014203846454620361
0.12399999999999999,0.005147337913513184,-0.010183855891227722,-0.011044144630432129
0.126,-0.00448155403137207,-0.003179747611284256,-0.010833263397216797
0.128,-0.0010138601064682007,-0.004255224019289017,-0.010498285293579102
0.13,0.003637835383415222,0.0005169883370399475,-0.007917344570159912
0.132,0.012729153037071228,-0.013311564922332764,-0.007556796073913574
0.134,0.0009878575801849365,-0.013847142457962036,-0.010017991065979004
0.136,-0.005814895033836365,-0.011342711746692657,-0.009863197803497314
0.138,0.010281071066856384,-0.004887010902166367,-0.006968438625335693
0.14,-0.008424267172813416,-0.005085412412881851,-0.008857488632202148
