force (kg),x_mag,y_mag,z_mag,,force (kg),,,
0.855,0.013467962,0.00209165,-0.00048728,,2.0178,,,
0.86,0.013533711,0.00209165,-0.00048728,,2.0296,,,
0.865,0.013533711,0.00209165,-0.00048728,,2.0414,,,
0.87,0.013533711,0.00209165,-0.00048728,,2.0532,,,
0.875,0.013533711,0.00209165,-0.00048728,,2.065,,,
0.88,0.013796705,0.003712037,-0.001088861,,2.0768,,,
0.885,0.0140597,0.002766811,-0.000888334,,2.0886,,,
0.89,0.0140597,0.002766811,-0.000888334,,2.1004,,,
0.895,0.0140597,0.002766811,-0.000888334,,2.1122,,,
0.9,0.0140597,0.002766811,-0.000888334,,2.124,,,
0.905,0.0140597,0.002766811,-0.000888334,,2.1358,,,
0.91,0.0140597,0.002766811,-0.000888334,,2.1476,,,
0.915,0.0140597,0.002766811,-0.000888334,,2.1594,,,
0.92,0.015308925,0.004252166,-0.001389652,,2.1712,,,
0.925,0.016821145,0.004252166,-0.001590179,,2.183,,,
0.93,0.016821145,0.004252166,-0.001590179,,2.1948,,,
0.935,0.015506171,0.00452223,-0.001189125,,2.2066,,,
0.94,0.016886894,0.003441972,-0.001088861,,2.2184,,,
0.945,0.016886894,0.003441972,-0.001088861,,2.2302,,,
0.95,0.016886894,0.003441972,-0.001088861,,2.242,,,
0.955,0.016886894,0.003441972,-0.001088861,,2.2538,,,
0.96,0.016886894,0.003441972,-0.001088861,,2.2656,,,
0.965,0.019845585,0.002496746,-0.001088861,,2.2774,,,
0.97,0.018925103,0.002496746,-0.001389652,,2.2892,,,
0.975,0.018925103,0.002496746,-0.001389652,,2.301,,,
0.98,0.018925103,0.002496746,-0.001389652,,2.3128,,,
0.985,0.018267616,0.003577005,-0.001389652,,2.3246,,,
0.99,0.019714088,0.00330694,-0.001690442,,2.3364,,,
0.995,0.019714088,0.00330694,-0.001690442,,2.3482,,,
1,0.019779836,0.003982101,-0.001590179,,2.36,,,
0,0,0,0,,0,-0.001259745,0.002496746,-0.000788071
-0.005,6.57487E-05,-0.000270065,0.000200527,,-0.0091,-0.001193996,0.002226682,-0.000587544
-0.01,0.000131497,-0.000135032,0,,-0.0182,-0.001128248,0.002361714,-0.000788071
-0.015,0.000131497,-0.000135032,0,,-0.0273,-0.001128248,0.002361714,-0.000788071
-0.02,0.000131497,-0.000270065,0.000200527,,-0.0364,-0.001128248,0.002226682,-0.000587544
-0.025,-0.000197246,-0.000405097,0.000100263,,-0.0455,-0.001456991,0.00209165,-0.000687807
-0.03,6.57487E-05,-0.001350323,-0.000100263,,-0.0546,-0.001193996,0.001146424,-0.000888334
-0.035,0.000591738,-0.000135032,-0.000200527,,-0.0637,-0.000668007,0.002361714,-0.000988598
-0.04,0.000197246,-0.001755419,0.000601581,,-0.0728,-0.001062499,0.000741327,-0.00018649
-0.045,0.001051979,-0.000810194,-0.000100263,,-0.0819,-0.000207766,0.001686553,-0.000888334
-0.05,0.001051979,-0.000810194,0.000501317,,-0.091,-0.000207766,0.001686553,-0.000286754
-0.055,0.00098623,-0.002700645,0.000501317,,-0.1001,-0.000273515,-0.000203899,-0.000286754
-0.06,0.00098623,-0.002700645,0.000501317,,-0.1092,-0.000273515,-0.000203899,-0.000286754
-0.065,0.001117728,-0.001350323,0.000401054,,-0.1183,-0.000142017,0.001146424,-0.000387017
-0.07,0.001117728,-0.001350323,0.000401054,,-0.1274,-0.000142017,0.001146424,-0.000387017
-0.075,0.001183476,-0.000675161,-0.000100263,,-0.1365,-7.63E-05,0.001821585,-0.000888334
-0.08,0.001183476,-0.000675161,0,,-0.1456,-7.63E-05,0.001821585,-0.000788071
-0.085,0.000262995,-0.000270065,-0.00030079,,-0.1547,-0.00099675,0.002226682,-0.001088861
-0.09,0.000920482,-0.000405097,0.000100263,,-0.1638,-0.000339263,0.00209165,-0.000687807
-0.095,0.000197246,-0.000540129,-0.000100263,,-0.1729,-0.001062499,0.001956617,-0.000888334
-0.1,0.000328743,-0.000135032,-0.000200527,,-0.182,-0.000931001,0.002361714,-0.000988598
-0.105,0.000591738,-0.001755419,0.000501317,,-0.1911,-0.000668007,0.000741327,-0.000286754
-0.11,0.000591738,-0.000540129,0.00030079,,-0.2002,-0.000668007,0.001956617,-0.00048728
-0.115,0.000328743,-0.000135032,0.000200527,,-0.2093,-0.000931001,0.002361714,-0.000587544
-0.12,0.000328743,-0.000135032,0.000200527,,-0.2184,-0.000931001,0.002361714,-0.000587544
-0.125,0.000328743,-0.000135032,0.000200527,,-0.2275,-0.000931001,0.002361714,-0.000587544
-0.13,0.000328743,-0.000135032,0.000200527,,-0.2366,-0.000931001,0.002361714,-0.000587544
-0.135,0.000328743,-0.000810194,0,,-0.2457,-0.000931001,0.001686553,-0.000788071
-0.14,0.000262995,-0.000810194,0,,-0.2548,-0.00099675,0.001686553,-0.000788071
-0.145,0.000262995,-0.000810194,0,,-0.2639,-0.00099675,0.001686553,-0.000788071
-0.15,0.000262995,-0.000810194,0,,-0.273,-0.00099675,0.001686553,-0.000788071
-0.155,0.000788984,-0.000135032,-0.000200527,,-0.2821,-0.000470761,0.002361714,-0.000988598
-0.16,0.000788984,-0.000135032,-0.000200527,,-0.2912,-0.000470761,0.002361714,-0.000988598
-0.165,0.000854733,-0.000810194,-0.000200527,,-0.3003,-0.000405012,0.001686553,-0.000988598
-0.17,0.001249225,-0.000135032,0.000100263,,-0.3094,-1.05E-05,0.002361714,-0.000687807
-0.175,0.001446471,-0.002295548,0.000401054,,-0.3185,0.000186726,0.000201198,-0.000387017
-0.18,0.001446471,-0.002295548,0.000401054,,-0.3276,0.000186726,0.000201198,-0.000387017
-0.185,0.000854733,-0.000540129,0,,-0.3367,-0.000405012,0.001956617,-0.000788071
-0.19,0.000854733,-0.000540129,0,,-0.3458,-0.000405012,0.001956617,-0.000788071
-0.195,0.001906712,-0.002430581,0.000601581,,-0.3549,0.000646967,6.62E-05,-0.00018649
-0.2,0.001906712,-0.002430581,0.000601581,,-0.364,0.000646967,6.62E-05,-0.00018649
